canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_type,evidence_count,conversation_count,top_conversation_title,sample_excerpt,conversation_ids
UNKNOWN,rtx 3090,24,3400,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export,30,14,Optimised LLM Cleanup Prompt,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk ",69ec9edd-918c-839a-8728-2dd1a78a3d95|69ece4a2-e3d4-83a0-93dd-ee742c723a32|69ed0427-372c-8398-86ae-b5b3218e3a19|69ed1750-d30c-839b-aff3-aa4d9bafeec2|69ed18c6-9e2c-839a-a64d-b7f54af4b8a2|69ed2fce-3f58-839f-8c8d-8004b0e18992|69edd989-3720-8399-abdd-f6c623f8fa84|69efa03a-cd58-83a0-b9e1-861507d02eb8|69f199b8-63a0-839c-9743-426bcea1420e|69f4635f-83b4-839a-9d97-e38feeeba8a3|69f46570-fa88-839c-b21e-635af55e97af|69f5ad8c-cb34-839a-beac-2ffa0cd19f56|69f71cf3-2ccc-839d-be3f-dc49afca00d5|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4080,16,2948,UNKNOWN,ChatGPT-Export,11,2,Optimised LLM Cleanup Prompt,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Nebula PC R7 7800X3D / RTX 4080 desktop** Prior OzBargain/Nebula listing Ryzen 7 7800X3D; RTX 4080 16GB; 16GB DDR5; 1TB NVMe AUD $2,948 after coupon; historic deal **16GB VRAM** **Active shortlist if deal retu",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 3080 ti,16,2345.15,UNKNOWN,ChatGPT-Export,10,1,RTX 3080 Ti Laptop Search,"A$2,345.15 \ue200cite\ue202turn40view0\ue201 | RTX 3080 Ti Laptop GPU with 16GB GDDR6, 15.6-inch 4K/UHD 144Hz, 32GB DDR5-4800, 2TB NVMe SSD, vapor-chamber cooling.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
acer predator orion,rtx 4080,16,4988,UNKNOWN,ChatGPT-Export,9,2,Refurbished desktop search,"|
| DT-008 | Unknown | Unknown | AUD $4,988; new/retail assumed | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Acer Predator Orion 7000 RTX 4080 SUPER desktop** Domayne + other merchants product-search result RTX 4080 Super ",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4090,16,3599,UNKNOWN,ChatGPT-Export,8,4,Refurbished desktop search,"At **A$3,599**, the Mike PC listing gives you an i9-14900HX, RTX 4090 16GB, 32GB DDR5, 2TB SSD, and a 16-inch 2560×1600 240Hz display, and it is explicitly described as a **demo unit** with **1-year Lenovo Australia manufacturer warranty**.",69e88ff7-a4c0-839d-8c99-501b955fa5e8|69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e|6a056fb0-9aa0-83ec-bdaa-78b01136fb48
UNKNOWN,rtx 5070 ti,16,3907,https://www.ple.com.au/nvidia/ai/aidevelopment,ChatGPT-Export,8,2,Refurbished desktop search,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **PLE AI Advanced RTX 5070 Ti 16GB desktop** PLE AI development build referenced in Stage 2 Ryzen 7 9700X; RTX 5070 Ti 16GB; 32GB DDR5-6000; 2TB NVMe AUD $3,907; built to order **16GB VRAM** **Active shortlist**",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 3090,UNKNOWN,1530,https://www.ebay.com.au/itm/314495495380,ChatGPT-Export,6,2,High-VRAM Hardware Procurement,"Moderate risk – no warranty or return.|
|Marketplace (typical)|eBay AU / used market|—|24|≈ $850–$1,050|Used|30‑day seller warranty (varies)|High‑rated sellers (> 95 % feedback)|Price tracker indicates used RTX 3090 cards average around US$1,000 (~A$1,530)【356063523441541†screens",69efa03a-cd58-83a0-b9e1-861507d02eb8|69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7i,rtx 4090,32,3599,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,ChatGPT-Export,5,3,Optimised LLM Cleanup Prompt,"| Rank | Machine | Why it lands here |
|---|---|---|
| **1** | **Lenovo Legion Pro 7i, i9-14900HX, RTX 4090, 32GB/2TB, A$3,599** | Best blend of **raw performance, VRAM, upgradeability, and price**.",69e88ff7-a4c0-839d-8c99-501b955fa5e8|69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7i,rtx 4090,16,5999,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,ChatGPT-Export,5,3,Optimised LLM Cleanup Prompt,"|
| LP-003 | Unknown | Unknown | AUD $5,999 in search result | **Likely 16GB VRAM if RTX 4090** | **Likely 16GB VRAM if RTX 4090** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7i direct Lenovo option** Lenovo + other merchants product-s",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4050,32,3499,UNKNOWN,ChatGPT-Export,4,4,Rational Computing Strategy,"- **HP Spectre x360 16-aa0012TX** — **16-inch 2.8K OLED touch**, **Core Ultra 7**, **RTX 4050**, **32GB LPDDR5x**, **1TB SSD**, **A$3,499** on HP Australia.",69d959a3-4650-839f-83e6-f265ebefeb24|69e20cd5-7728-839c-a1e8-c58a361e87a2|69e47313-c634-83a1-aa81-1db5c208986e|69e473a6-f9dc-839b-89ea-2b8ce865aba0
