intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,Upgrade_Ceiling,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
intake-034,Lenovo ThinkStation P330 Tiny Desktop,ACTIVE,Desktop,desktop,Complete_System,2,B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,469.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-034_lenovo-thinkstation-p330-tiny-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-034,Candidate,3,10,3,2,0,9.0,,,,,,,,,,,,,,,,,
intake-065,Dell OptiPlex 5060 SFF,ACTIVE,Desktop,desktop,Complete_System,2,B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,238.99,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-065_dell-optiplex-5060-sff.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-065,Candidate,3,10,3,2,0,5.0,,,,,,,,,,,,,,,,,
intake-007,PLE AI Advanced RTX 5070 Ti Desktop,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3907.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-007_ple-ai-advanced-rtx-5070-ti-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-007,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-016,OKINOS Studio Pro - RTX 5070 Ti/3090,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3599.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-016_okinos-studio-pro-rtx-5070-ti3090.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-016,Candidate,7,6,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-017,Budget build,ACTIVE,Desktop,diy build,Complete_System,1.5,UNKNOWN,RTX 4060 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-017_budget-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-017,Candidate,7,10,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-032,TOPAZ SNOW PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2699.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-032_topaz-snow-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-032,Candidate,7,8,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-033,VISION ONYX PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3999.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-033_vision-onyx-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-033,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-037,Thermaltake Horizon Xtreme tower + X1 Carbon,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4543.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-037_thermaltake-horizon-xtreme-tower-x1-carbon.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-037,Candidate,7,3,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-041,ACT Dell 3650 + A4000,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX A4000,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1800.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-041_act-dell-3650-a4000.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-041,Candidate,7,10,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-043,PLE Pixel 5070 Ti,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3799.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-043_ple-pixel-5070-ti.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-043,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
