intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
fb-001,Lenovo Legion 5 Pro Gaming Laptop NVIDIA® GeForce RTXTM 3070 8GB 1.5TB SSD 16GB RAM AMD 5800H CPU,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1000.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-001_lenovo-legion-5-pro-gaming-laptop-nvidia-geforce-rtxtm-3070.md,,Passed gates,Unverified — confirm specs before scoring,fb-001,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-002,ASUS ROG Gaming Laptop Sleeve 15”,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-002_asus-rog-gaming-laptop-sleeve-15.md,,Passed gates,Unverified — confirm specs before scoring,fb-002,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-003,ASUS ROG Zephyrus G14 (2025) – Ryzen AI 9 HX 370 / RTX 5070 Ti / 32GB RAM,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 5070,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3900.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-003_asus-rog-zephyrus-g14-2025-ryzen-ai-9-hx-370-rtx-5070-ti-32g.md,,Passed gates,Unverified — confirm specs before scoring,fb-003,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-004,Thinkbook Laptop (2k 165Hz Display) No Charger,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,600.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-004_thinkbook-laptop-2k-165hz-display-no-charger.md,,Passed gates,Unverified — confirm specs before scoring,fb-004,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-007,Asus ROG Repulic of Gamer Strix G531GU Intel i7-9750h GTX 1660TI 16GB 1TB Wifi 7 laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,GTX 1660TI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,850.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-007_asus-rog-repulic-of-gamer-strix-g531gu-intel-i7-9750h-gtx-16.md,,Passed gates,Unverified — confirm specs before scoring,fb-007,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-009,"Lenovo IdeaPad Pro 5 (14"", Gen 9) AMD",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1199.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-009_lenovo-ideapad-pro-5-14-gen-9-amd.md,,Passed gates,Unverified — confirm specs before scoring,fb-009,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-011,Dell G7 7790 Gaming Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,500.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-011_dell-g7-7790-gaming-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-011,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-013,Gaming laptop and more,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2100.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-013_gaming-laptop-and-more.md,,Passed gates,Unverified — confirm specs before scoring,fb-013,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-016,🔥🔥Dell latitude 5590 15.6 inch screen (A grade),ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,15.6,UNKNOWN,199.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-016_dell-latitude-5590-156-inch-screen-a-grade.md,,Passed gates,Unverified — confirm specs before scoring,fb-016,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-018,Hp proliant microserver,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,200.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-018_hp-proliant-microserver.md,,Passed gates,Unverified — confirm specs before scoring,fb-018,Candidate,,,,,,,,,,,,,,,,,,,,,,
