source_type,conversation_file,conversation_title,message_timestamp,candidate_excerpt,gpu_models,vram_gb,price_aud,urls,confidence_score
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"While 12GB and 16GB tiers limit users to smaller or aggressively quantized models with constrained context windows, the 24GB tier—epitomized by the financially sound used RTX 3090 in the Australian market—allows for running flagship models like Gemma 4 31B and Llama 4 Scout with massive context and high-quality quantization, enabling a clear return on investment (ROI) within 15-30 months for ""power users"" by eliminating the escalating costs and usage limits of proprietary cloud subscriptions.",RTX 3090,12,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,This space has historically been dominated by a dichotomy between the NVIDIA GeForce RTX 3090 (Ampere architecture) and the AMD Radeon RX 7900 XTX (RDNA 3 architecture).,GeForce RTX 3090 | Radeon RX 7900,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"Previous analytical sweeps heavily favored the RTX 3090, primarily due to the unparalleled maturity, stability, and widespread adoption of the Compute Unified Device Architecture (CUDA) software stack.**Extraction and Scoring of Legacy Configurations**",RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The retrospective evaluation of the RTX 3090 and RX 7900 XTX reveals an intense, ongoing conflict between theoretical rasterization metrics and applied machine learning framework compatibility.",RTX 3090 | RX 7900 XTX,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                           |
| :--------------------: | :-------------------------------------------------------: |
| **Component**          | NVIDIA GeForce RTX 3090 (Founders Edition / Standard AIB) |
| **Architecture**       | Ampere (GA102)                                            |
| **Target Workload**    | Core LLM Inference / General Compute                      |",GeForce RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"|
| **Strategic Verdict**                              | The RTX 3090 serves as the definitive anchor point for hardware comparisons; its score is heavily buoyed by ecosystem dominance, masking its physical aging and high thermal output.",RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **Component**          | AMD Radeon RX 7900 XTX                             |
| **Architecture**       | RDNA 3 (Navi 31)                                   |
| **Target Workload**    | High-Resolution Rendering / Supported AI Inference |",Radeon RX 7900,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"|
| **Strategic Verdict**                              | The RX 7900 XTX represents a formidable physical asset hampered by software integration challenges, demanding patience and technical acumen for local AI deployment.",RX 7900 XTX,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The 12GB tier, represented by cards like the RTX 3060 12GB and the newer RTX 5060, is the absolute minimum for a ""responsive"" local LLM experience.",RTX 3060 | RTX 5060,12,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The 16GB tier (e.g., RTX 4060 Ti 16GB, RTX 5070 Ti) is currently viewed as the ""sweet spot"" for hobbyists who need professional-grade AI without the high costs of flagship hardware.",RTX 4060 Ti | RTX 5070 Ti,16,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The 24GB tier (RTX 3090, RTX 4090) remains the gold standard for local LLM practitioners in 2026.",RTX 3090 | RTX 4090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"|                         |                       |                  |                       |
| :---------------------: | :-------------------: | :--------------: | :-------------------: |
| **Hardware Setup**      | **Best Model (24GB)** | **Quantization** | **Performance (t/s)** |
| **RTX 3090 (Used)**     | Gemma 4 31B Dense     | Q4\_K\_M         | 15 - 18 27            |
| **RTX 4090 (New)**      | Qwen 3.5 35B-A3B      | Q5\_K\_M         | 30 - 50 8             |
| **RTX 5090 (Flagship)**",RTX 3090 | RTX 4090 | RTX 5090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"|                               |                       |                             |                         |                         |                            |                                 |
| :---------------------------: | :-------------------: | :-------------------------: | :---------------------: | :---------------------: | :------------------------: | :-----------------------------: |
| **Hardware Accelerator**      | **Core Architecture** | **Memory Bandwidth (GB/s)** | **Llam",RTX 5090 | RTX 4090 | RTX 3090 | RX 7900 XTX,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The benchmarking data illustrates the dominance of the new Blackwell architecture, with the RTX 5090 delivering a 3.1x throughput multiplier over the legacy RTX 3090.",RTX 5090 | RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"However, the AMD RX 7900 XTX, despite possessing superior theoretical memory bandwidth to the RTX 3090, suffers from a software-stack overhead when operating through ROCm on frameworks like llama.cpp, causing it to trail the RTX 3090 by margins of 5% to 25%.",RX 7900 XTX | RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"For models like Llama 3.3 70B, the 24GB VRAM buffer shared by the RTX 3090 and RX 7900 XTX makes viable interaction possible through EXL2 formatting at 2.5 bits per weight, but strictly restricts context limits to approximately 4096 tokens before out-of-memory errors occur.**Gap List Formulation: Strategic Supply Chain and Architectural Blind Spots**",RTX 3090 | RX 7900 XTX,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **The NVIDIA Blackwell Architecture (50-Series):** The introduction of the RTX 5090 (32GB GDDR7, 1,792 GB/s bandwidth) and the mobile variant (24GB VRAM) necessitates a complete recalibration of top-tier performance expectations.",RTX 5090,32,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
