decision_status,priority,pathway,item_name,gpu_or_soc,vram_gb,unified_memory_gb,screen_size_in,price_aud,au_stock,verification_status,key_blockers,next_action,source_file
BUY_CANDIDATE,1,1B,ASUS ProArt GoPro Edition PX13 HN7306EAC-LX044W (Strix Halo),AMD Ryzen AI Max+ 395,UNKNOWN,128,13.3,4497.00,Yes,Verified,"Strix Halo; 128GB unified; 13.3 in flip laptop; NEW TOP PICK; Officeworks live price checked 2026-05-11","Best value and most memory for local LLM",NotebookLM_Workspaces/04_Laptops_Mainline/HN6306_proart_px13.md
BUY_CANDIDATE,2,1B,ASUS ROG Flow Z13 (2026) GZ302EA,AMD Ryzen AI Max+ 395,UNKNOWN,32,13.4,3824.00,Yes,Verified,"Strix Halo; 32GB unified; Tablet form factor","High portability; demoted due to form factor and RAM cap",NotebookLM_Workspaces/04_Laptops_Mainline/GZ302EA-RU004W_rog_flow_z13.md
BUY_CANDIDATE,3,1B,HP ZBook Ultra 14 G1a (Ryzen AI Max PRO 390),AMD Ryzen AI Max PRO 390,UNKNOWN,32,14,4200.00,Yes,User Verified,"Strix Halo; 32GB unified; Traditional laptop form factor","Best traditional laptop alternative",NotebookLM_Workspaces/04_Laptops_Mainline/NBKHNB141202_hp_zbook_ultra_14_g1a.md
BUY_CANDIDATE,4,1A,Lenovo Legion 9i Gen 10 18 in (Lenovo Direct),NVIDIA RTX 5080 Laptop GPU,16,UNKNOWN,18,4300.00,Yes,User Verified,"~$4300 effective via EDU+Pro+TopCashback; 64GB RAM/2TB SSD; configurable to RTX 5090","Verify 5090 config availability at this effective price",NotebookLM_Workspaces/04_Laptops_Mainline/37_lenovo-legion-9i-gen10-direct.md
BUY_CANDIDATE,5,1A,Lenovo Legion 9i Gen 10 18 in RTX 5080 (eBay),NVIDIA RTX 5080 Laptop GPU,16,UNKNOWN,18,4615.50,Yes,Verified,"Verified via screenshot at 4615.50 AUD; 64GB RAM/2TB SSD","Good if EDU discount unavailable",NotebookLM_Workspaces/04_Laptops_Mainline/36_lenovo-legion-9i-18-rtx-5080-ebay.md
BUY_CANDIDATE,5,1A,MSI Raider GE68 HX 13V (RTX 4090),NVIDIA RTX 4090 Laptop GPU,16,UNKNOWN,16,2899.00,Yes,Verified,"Insane bargain; 16GB VRAM; used/excellent condition; 6mo warranty","Best budget discrete compute",NotebookLM_Workspaces/04_Laptops_Mainline/mikepc_msi_raider_ge68_rtx4090.md
BUY_CANDIDATE,6,1A,Lenovo Legion Pro 7 16IAX10H (RTX 5080),NVIDIA GeForce RTX 5080,16,UNKNOWN,16,4699.00,Yes,Verified,"64GB RAM; RTX 5080 (16GB); high-end NVIDIA compute","Strong out-of-the-box coding machine",NotebookLM_Workspaces/04_Laptops_Mainline/lenovo-legion-pro-7-5080-centrecom.md
PARKED,2,1A,Dell Alienware m18 R2 / Area-51,RTX 5090 Mobile,24,UNKNOWN,18,4499,UNKNOWN,Unverified,"Pricing conflict: 4499 AUD for 5090 is likely incorrect; 50-series starts at ~9k","Re-verify if unicorn listing actually exists or reject",NotebookLM_Workspaces/04_Laptops_Mainline/intake-011_dell-alienware-m18-r2-area-51.md
VERIFY_NEXT,3,1A,Lenovo Legion Pro 7i,RTX 4090 Mobile,16,UNKNOWN,16,4575,UNKNOWN,Unverified,"AU stock unknown; screen missing in intake card but older card indicates 16 in","Live verify Lenovo/AU retailer stock, price, warranty, thermals, and storage/RAM config",NotebookLM_Workspaces/04_Laptops_Mainline/intake-009_lenovo-legion-pro-7i.md
VERIFY_NEXT,5,1A,MSI Stealth A16 5080,RTX 5080 Mobile,16,UNKNOWN,16,4999,UNKNOWN,Unverified,"near budget cap; AU stock unknown; screen not explicit in intake row","Live verify AU stock, screen, thermals, warranty, and whether any discount moves it below cap",NotebookLM_Workspaces/04_Laptops_Mainline/intake-045_msi-stealth-a16-5080.md
