source_type,conversation_id,conversation_title,message_timestamp,candidate_excerpt,gpu_models,vram_gb,price_aud,urls,filter_basis,confidence_score
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"- **HP Spectre x360 16-aa0012TX** — **16-inch 2.8K OLED touch**, **Core Ultra 7**, **RTX 4050**, **32GB LPDDR5x**, **1TB SSD**, **A$3,499** on HP Australia.",RTX 4050,32,3499,,project_term,3
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"- **HP Victus 16.1** — **i7-13700HX**, **RTX 4060 8GB**, **32GB**, **1TB**, **A$1,888** at Harvey Norman.",RTX 4060,8,1888,,project_term,3
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"citeturn767130view3
- **Predator Helios Neo 16** — **i9-14900HX**, **RTX 4060 8GB**, **32GB**, **1TB**, **A$2,999** at Harvey Norman.",RTX 4060,8,2999,,project_term,3
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"- **Predator Triton 14 AI** — **14-inch OLED touchscreen**, **Core Ultra 9-288V**, **RTX 5070 8GB**, **32GB**, **2TB**, **A$5,298** at Harvey Norman.",RTX 5070,8,5298,,project_term,3
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"citeturn478978view0
- **ASUS ProArt P16** — **16-inch 3K touchscreen**, **Ryzen AI 9 HX 370**, **RTX 5070**, **64GB**, **1TB**, **A$4,999** at Scorptec.",RTX 5070,64,4999,,project_term,3
ChatGPT-Export,69d959a3-4650-839f-83e6-f265ebefeb24,Rational Computing Strategy,2026-04-11T19:20:45.024724+00:00,"### 5) **Predator Triton 14 AI RTX 5070**
Technically impressive, but **A$5,298** makes it irrelevant to this budget.",RTX 5070,,5298,,project_term,3
ChatGPT-Export,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,2026-04-17T20:43:44.177055+00:00,"Best comfort/value hybrid**
**Yoga AIO 27 Gen 10 (32GB) + secondary refurb laptop** — **green** 🟢  
Lenovo AU currently lists the Yoga AIO line starting at **A$1,899**, and a current AU configuration exists with **32GB soldered RAM** and **RTX 4050**.",RTX 4050,32,1899,,project_term,3
ChatGPT-Export,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,2026-04-17T20:43:44.177055+00:00,"Your saved listing is a **17Z90SP-ED7HK**, **Ultra 7 155H**, **RTX 3050 4GB**, **32GB RAM**, **512GB SSD**, around **AU$3,139**, from a seller with **99.3% positive feedback**, **joined in 2020**, **30-day returns**, and shipping from **South Korea**.",RTX 3050,4,3139,,project_term,3
ChatGPT-Export,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,2026-04-17T20:43:44.177055+00:00,"**Razer Blade 16 (2024, RTX 4080 OLED) — best premium one-box**
Your saved Blade 16 listing is surfacing around **AU$3,700** on eBay.",RTX 4080,,3700,,project_term,3
ChatGPT-Export,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,2026-04-17T20:43:44.177055+00:00,"| Option | Buy path / price signal | Release | NPU / TOPS | Main upside | Main downside | Score / 100 | Refs |
|---|---|---:|---|---|---|---:|---|
| **LG gram 17 AU (17Z90TL-G.AU88A)** | **A$2,474.25** official AU listing | **2025** | **Yes, 47 TOPS** | Best current **local** single-machine value: 17"", 32GB, 1TB, 1,389g, dual SSD slots | No dGPU; 60Hz IPS, not touch | **82** | citeturn221938search0turn277743search2 |
| **Yoga AIO 27 Gen 10 + ThinkPad P16s Gen 4** | AIO AU pages look patchy /",RTX 5050 | RTX 5060 | RTX 4080 | RTX 5090,32,2474.25 | 3.3 | 4.6 | 1780 | 3287 | 4620 | 2688 | 2956,,project_term,3
ChatGPT-Export,69e44757-2364-83a0-acd0-25e12905cb03,Suspicious eBay Listing,2026-04-19T03:10:33.078519+00:00,"This listing shows a **brand-new** Razer Blade 18 with **Ultra 9 275HX, RTX 5090, 64GB RAM, and 4TB SSD** for about **AU$1,612**.",RTX 5090,64,1612,,project_term,3
ChatGPT-Export,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,2026-04-19T06:16:07.764482+00:00,"### 2) The price is **implausibly low**
This listing is **US$1,900 / about AU$2,648** for an **18-inch Ultra 9 / RTX 5090 / 2TB** Legion 9i.",RTX 5090,,2648,,hardware_term_cluster,3
ChatGPT-Export,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,2026-04-19T06:16:07.764482+00:00,"By comparison, Australian retail references for similar Legion 9 Gen 10 configs are far higher:
- Harvey Norman lists an **RTX 5080 / 64GB / 2TB** Legion at **AU$7,698**.",RTX 5080,64,7698,,hardware_term_cluster,3
ChatGPT-Export,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,2026-04-19T06:16:07.764482+00:00,"citeturn769408search8
- Kogan lists a **RTX 5090** Legion at **AU$7,867.66**.",RTX 5090,,7867.66,,hardware_term_cluster,3
