intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,Seller_Risk_Multiplier,Source_Platform_Penalty,Risk_Adjustment,Adjusted_MCDA_Total,Policy_Status,Policy_Blockers,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
HN6306_proart_px13,ASUS ProArt GoPro Edition PX13 HN7306EAC-LX044W (Strix Halo),BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1B,UNKNOWN,128.0,128.0,13.3,UNKNOWN,4497.0,No,,New,Officeworks,Verified,Yes,MAJOR_RETAILER_AU,MANUFACTURER_AU,manual_user_submission,cards/HN6306_proart_px13.md,,Passed gates,,HN6306_proart_px13,Candidate,7,8,8,9,8,7.950,0.980,0.000,-0.159,7.791,GOOD_ENOUGH,,,,,,,,,,,,,,,,,
31_lenovo-legion-9i-18-rtx-5090,"Lenovo Legion 9i Gen 10 18"" RTX 5090",ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,NVIDIA RTX 5090 Laptop GPU (24 GB),24.0,UNKNOWN,18.0,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/31_lenovo-legion-9i-18-rtx-5090.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,31_lenovo-legion-9i-18-rtx-5090,Candidate,10,5,10,3,10,7.600,1.000,0.000,0.000,7.600,NEEDS_REVIEW,price UNKNOWN; AU stock not confirmed; track/pathway unresolved; seller_class UNKNOWN for risk adjustment; source_platform UNKNOWN for risk adjustment,,,,,,,,,,,,,,,,
intake-051,Acer Predator Helios 18,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4090 Mobile,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4449.0,No,,Refurbished,UNKNOWN,Verified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-051_acer-predator-helios-18.md,,Passed gates,,intake-051,Candidate,7,8,7,3,7,6.400,1.000,0.000,0.000,6.400,NEEDS_REVIEW,screen size UNKNOWN; seller_class UNKNOWN for risk adjustment; source_platform UNKNOWN for risk adjustment,,,,,,,,,,,,,,,,
36_lenovo-legion-9i-18-rtx-5080-ebay,"Lenovo Legion 9i Gen 10 18"" RTX 5080 (eBay)",BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA RTX 5080 Laptop GPU (16 GB),16.0,UNKNOWN,18.0,UNKNOWN,4585.0,No,,UNKNOWN,UNKNOWN,Verified,Yes,EBAY_POWER_SELLER,EBAY_AU,UNKNOWN,cards/36_lenovo-legion-9i-18-rtx-5080-ebay.md,,Passed gates,,36_lenovo-legion-9i-18-rtx-5080-ebay,Candidate,7,10,8,3,7,7.000,0.900,0.400,-1.100,5.900,GOOD_ENOUGH,,,,,,,,,,,,,,,,,
intake-074,"ASUS ROG Zephyrus Duo 16"" (RTX 4080) — Unicorn Exception",BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 4080 Laptop GPU (12 GB),12.0,UNKNOWN,16.0,UNKNOWN,2800.0,No,,Pre-owned,eBay (Item 397837419713),Verified,Yes,EBAY_POWER_SELLER,EBAY_AU,manual_user_submission,cards/intake-074_asus-rog-zephyrus-duo-16-ebay.md,,Passed gates,,intake-074,Candidate,6,10,7,6,5,6.850,0.900,0.400,-1.085,5.765,GOOD_ENOUGH,,,,,,,,,,,,,,,,,
01_lenovo-thinkstation-basic,Lenovo ThinkStation (Basic Config),ACTIVE,Desktop,desktop_tower_new,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3350.0,No,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/01_lenovo-thinkstation-basic.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,01_lenovo-thinkstation-basic,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
C07_hp_z2_mini_g1a,,BUY_CANDIDATE,Desktop,workstation,Complete_System,2,2C,AMD Radeon Graphics (Strix Halo Integrated),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3395.0,No,,New,IT Nest / LogicalTech,Verified (Price matched at LogicalTech),Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/C07_hp_z2_mini_g1a.md,,Passed gates,,C07_hp_z2_mini_g1a,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; MCDA score incomplete",,,,,,,,,,,,,,,,
hp-z2-mini-g1a-strix-halo,HP Z2 Mini G1a,ACTIVE,Desktop,mini_pc,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.0,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/hp-z2-mini-g1a-strix-halo.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,hp-z2-mini-g1a-strix-halo,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
hp_mini_pc_placeholder,HP Workstation Mini PC,ACTIVE,Desktop,mini-pc,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/hp_mini_pc_placeholder.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,hp_mini_pc_placeholder,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-034,Lenovo ThinkStation P330 Tiny Desktop,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,469.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-034_lenovo-thinkstation-p330-tiny-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-034,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
