date_found,source_batch,track,pathway,category,item_name,price_aud,gpu_model,vram_gb,unified_memory_gb,ram_gb,cpu_model,condition,retailer,url,au_stock_confirmed,verification_status,status,notes
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dual RTX 3090 24GB GPU Pro Workstation (Pure 501 Black),5998.50,RTX 3090,48,UNKNOWN,128,Ultra 7 265K,New,Green Beast Gaming,UNKNOWN,UNKNOWN,Unverified,Active,Incredible pre-built value for running massive 70B+ unquantized models utilizing dual 3090s
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Supertech Computers RTX 4090 Gaming PC,5799,RTX 4090,24,UNKNOWN,32,i7-14700K,New,Supertech Computers,UNKNOWN,UNKNOWN,Unverified,Active,Offers the highest raw local-AI capability in a brand-new retail build
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dell Precision 5820 Tower Bundle,3558,RTX 3090,24,UNKNOWN,64,Xeon W-2235,Refurbished,Recompute / Australian Computer Traders,UNKNOWN,UNKNOWN,Unverified,Active,Older workstation platform but provides a complete out-of-the-box dual-device ecosystem
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,HP Z4 G4 Workstation (Refurbished Base),3500,RTX 3090,24,UNKNOWN,128,Xeon,Refurbished,Refurbishers / eBay,UNKNOWN,UNKNOWN,Unverified,Active,Highly affordable foundational build that supplies the massive power and space requirements needed for a 24GB GPU
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dell Precision T7910 (Refurbished Base),1875,RTX 3090,24,UNKNOWN,64,Dual Xeon E5-2680 v4,Refurbished,System Liquidation / eBay,UNKNOWN,UNKNOWN,Unverified,Active,The absolute cheapest foundational workstation; featuring a factory-installed 1300W PSU
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Alienware Aurora R12 (Refurbished),3884,RTX 3090,24,UNKNOWN,32,i9-11900K,Refurbished,Dick Smith / UN Tech,UNKNOWN,UNKNOWN,Unverified,Active,Solid consumer-oriented pre-built option to secure 24GB of VRAM
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,PLE AI Advanced RTX 5070 Ti Desktop,3907,RTX 5070 Ti,16,UNKNOWN,32,Ryzen 7 9700X,New,PLE Computers,UNKNOWN,UNKNOWN,Unverified,Active,Clean fully warrantied local Australian retail path under $4k
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Evatech Y40K RTX 4080 Super Gaming PC,UNKNOWN,RTX 4080 Super,16,UNKNOWN,32,i9-14900KF,New,Evatech Australia,UNKNOWN,UNKNOWN,Unverified,Active,Powerful tier-down compromise option offering excellent compute speed
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Lenovo Legion Pro 7i,4575,RTX 4090 Mobile,16,UNKNOWN,64,i9-14900HX,New,Mike PC / Lenovo,UNKNOWN,UNKNOWN,Unverified,Active,The best emotional-but-defensible one-machine route
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,MSI Raider 18 HX AI A2XWJG,8488,RTX 5090 Mobile,24,UNKNOWN,64,Core Ultra 9 285HX,New,Scorptec / JW Computers,https://www.scorptec.com.au/product/ready-to-run-pcs/gaming-pc/124318-r2r10638,UNKNOWN,Verified,Active,Massive desktop replacement that overcomes traditional laptop VRAM limits
