canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_type,evidence_count,conversation_count,sample_excerpt,conversation_files
UNKNOWN,rtx 3090,UNKNOWN,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,23,2,This space has historically been dominated by a dichotomy between the NVIDIA GeForce RTX 3090 (Ampere architecture) and the AMD Radeon RX 7900 XTX (RDNA 3 architecture).,conversation_1777558354.txt|conversation_1777955851.txt
UNKNOWN,rtx 5090,UNKNOWN,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,9,2,"|                               |                       |                             |                         |                         |                            |                                 |
| :---------------------------: | :-------------------: | :------------------",conversation_1777558354.txt|conversation_1777955851.txt
UNKNOWN,rx 7900 xtx,UNKNOWN,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,7,1,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **Component**          | AMD Radeon RX 7900 XTX                             |
| **Architecture**       | RDNA 3 (Navi ",conversation_1777558354.txt
UNKNOWN,rtx 3090,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,7,1,"The 24GB tier (RTX 3090, RTX 4090) remains the gold standard for local LLM practitioners in 2026.",conversation_1777558354.txt
UNKNOWN,rx 7900 xtx,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,5,1,"- **Titanium PC Signature Build:** Features the AMD Ryzen 7 7700 or 7800X3D and a brand new RX 7900 XTX 24GB, priced at $4,999 AUD after a substantial discount, focusing on gaming and general compute.",conversation_1777558354.txt
UNKNOWN,rtx 5060 ti,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,4,2,| Date\_Found | Path\_ID | Category   | Item\_Name                         | Price\_AUD | VRAM\_GB | RAM\_GB | GPU\_Model      | CPU\_Model           | Condition   | Retailer        | Upgradeability | Image\_Gen\_Tier | LLM\_Tier       | Notes                                     ,conversation_1777955851.txt|conversation_1777961628.txt
UNKNOWN,rtx 5070,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,4,2,"| \[URL\] |
| 2026-04-26  | 3        | Desktop    | Twilight RTX 5070 Gaming PC        | 2999       | 12       | 32      | RTX 5070        | Ryzen 5 7500X3D      | New         | Scorptec        | Slotted        | Strong           | Mid             | Discounted price until April 3",conversation_1777955851.txt|conversation_1777961628.txt
asus rog zephyrus g16,rtx 5080,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,4,2,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | ASUS ROG Zephyrus G16              | 4599       | 12       | 32      | RTX 5080        | Core Ultra 9 275     | New         | Scorptec        | UNKNOWN        | Strong           | Mid             | High-end thin-and-light; premi",conversation_1777955851.txt|conversation_1777961628.txt
UNKNOWN,rtx 4060 ti,16,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,4,1,"The 16GB tier (e.g., RTX 4060 Ti 16GB, RTX 5070 Ti) is currently viewed as the ""sweet spot"" for hobbyists who need professional-grade AI without the high costs of flagship hardware.",conversation_1777558354.txt
UNKNOWN,rtx 5090,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,4,1,The GeForce RTX 5090 Laptop GPU features a full 24GB of GDDR7 memory.,conversation_1777558354.txt
UNKNOWN,rtx 3060,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,3,1,"The 12GB tier, represented by cards like the RTX 3060 12GB and the newer RTX 5060, is the absolute minimum for a ""responsive"" local LLM experience.",conversation_1777558354.txt
lenovo legion pro 5i,rtx 5070 ti,12,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,3,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion Pro 5i 16IAX10H      | 3699       | 12       | 32      | RTX 5070 Ti     | Core Ultra 9 275HX   | New         | Scorptec        | UNKNOWN        | Strong           | Mid             | Better 12GB VRAM; sale price u",conversation_1777955851.txt
UNKNOWN,rtx 5070 ti,24,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,3,1,"| \[URL\] |
| 2026-04-26  | 3        | Desktop    | PLE AI Advanced RTX 5070 Ti        | 3907       | 16       | 32      | RTX 5070 Ti     | Ryzen 7 9700X        | New         | PLE Computers   | Good           | Strong           | Strong          | Clean local warranty route; le",conversation_1777955851.txt
lenovo legion pro 7i,rtx 4090,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,3,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion Pro 7i RTX 4090      | 3599       | 16       | 64      | RTX 4090        | Core i9-14900HX      | New         | Mike PC         | Moderate       | Strong           | Strong          | Best one-device route if price",conversation_1777955851.txt
UNKNOWN,rtx 5090,32,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,2,2,"- **The NVIDIA Blackwell Architecture (50-Series):** The introduction of the RTX 5090 (32GB GDDR7, 1,792 GB/s bandwidth) and the mobile variant (24GB VRAM) necessitates a complete recalibration of top-tier performance expectations.",conversation_1777558354.txt|conversation_1777955851.txt
UNKNOWN,rtx 3090,32,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,2,1,"| Product Identification |                                                             |
| :--------------------: | :---------------------------------------------------------: |
| **System Integrator**  | Mike PC                                                     |
| **Model Des",conversation_1777558354.txt
UNKNOWN,rtx 4080,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,2,1,"| N/A     |
| 2026-05-01  | 3        | Desktop    | Silent RTX 4080 Build              | 3400       | 16       | 32      | RTX 4080        | Core i7 14700K       | New         | PCCaseGear      | Slotted        | FLUX             | High            | Focused on low noise levels.",conversation_1777955851.txt
