intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total
056_alienware-area-51-18-rtx-5070-ti-ebay-mkt-015,Dell Laptop Alienware 18 Area-51 18in Ultra 9 275HX 2TB RTX 5070 Ti,Watchlist,Laptop,laptop,Complete_System,1,1A,RTX 5070 Ti Laptop,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,Brand new,UNKNOWN,Needs Verification,No,UNKNOWN,UNKNOWN,UNKNOWN,cards/056_alienware-area-51-18-rtx-5070-ti-ebay-mkt-015.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,056_alienware-area-51-18-rtx-5070-ti-ebay-mkt-015,Candidate,,,,,,
057_alienware-area-51-18-rtx-5070-ti-ebay-mkt-016,Alienware 18 Area-51 18in QHD+ Ultra 9 32GB 2TB RTX 5070 Ti,Watchlist,Laptop,laptop,Complete_System,1,1A,RTX 5070 Ti Laptop,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2981.0,No,,Brand new,UNKNOWN,Needs Verification,No,UNKNOWN,UNKNOWN,UNKNOWN,cards/057_alienware-area-51-18-rtx-5070-ti-ebay-mkt-016.md,,Passed gates,AU stock: No,057_alienware-area-51-18-rtx-5070-ti-ebay-mkt-016,Candidate,,,,,,
37_lenovo-legion-9i-gen10-direct,,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA RTX 5080 (16 GB) or RTX 5090 (24 GB) Laptop GPU,UNKNOWN,UNKNOWN,18.0,UNKNOWN,6279.0,Yes,,New,Lenovo AU Direct (EDU/Pro + Cashback),User Verified (effective price),Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/37_lenovo-legion-9i-gen10-direct.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,279.00)",37_lenovo-legion-9i-gen10-direct,Candidate,,,,,,
A9WIG-082US_msi_raider_a18_hx,,WATCHLIST,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 5080 Laptop GPU,UNKNOWN,UNKNOWN,18.0,UNKNOWN,5359.0,Yes,,New,B&H Photo (US Import),Verified,No,UNKNOWN,UNKNOWN,manual_user_submission,cards/A9WIG-082US_msi_raider_a18_hx.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $5,359.00); AU stock: No",A9WIG-082US_msi_raider_a18_hx,Candidate,,,,,,
RZ09-0511_razer_blade_14,,WATCHLIST,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 5060 Laptop GPU,UNKNOWN,UNKNOWN,14.0,UNKNOWN,3100.0,No,,New,DigiDirect,Verified,Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/RZ09-0511_razer_blade_14.md,,Passed gates,,RZ09-0511_razer_blade_14,Candidate,,,,,,
aa182502898_alienware_18_area_51,,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 5080 Laptop GPU,UNKNOWN,UNKNOWN,18.0,UNKNOWN,3179.0,No,,Refurbished,Dell Outlet Australia,User Verified,Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/aa182502898_alienware_18_area_51.md,,Passed gates,,aa182502898_alienware_18_area_51,Candidate,,,,,,
intake-073,Alienware 18 Area-51 (RTX 5070 8GB),REJECTED_BELOW_FLOOR,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 5070 Laptop,UNKNOWN,UNKNOWN,18.0,UNKNOWN,3179.0,No,,Used (Replacement unit),UNKNOWN,Verified (User provided specs),Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/intake-073_ebay-shortlink-hxqmlu.md,,Passed gates,,intake-073,Candidate,,,,,,
laptop4134_alienware_m18_r2,,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 4090 Laptop GPU,UNKNOWN,UNKNOWN,18.0,UNKNOWN,3899.1,No,,Refurbished,Dell Outlet Australia,User Verified,Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/laptop4134_alienware_m18_r2.md,,Passed gates,,laptop4134_alienware_m18_r2,Candidate,,,,,,
lenovo-legion-pro-7-5080-centrecom,,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 5080 Laptop GPU,UNKNOWN,UNKNOWN,16.0,UNKNOWN,4699.0,No,,New,Centre Com,Verified,Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/lenovo-legion-pro-7-5080-centrecom.md,,Passed gates,,lenovo-legion-pro-7-5080-centrecom,Candidate,,,,,,
mikepc_msi_raider_ge68_rtx4090,,BUY_CANDIDATE,Laptop,laptop,Complete_System,1,1A,NVIDIA GeForce RTX 4090 Laptop,UNKNOWN,UNKNOWN,16.0,UNKNOWN,2899.0,No,,Used (Excellent Cosmetic Condition),Mike's PC AU,Verified,Yes,UNKNOWN,UNKNOWN,manual_user_submission,cards/mikepc_msi_raider_ge68_rtx4090.md,,Passed gates,,mikepc_msi_raider_ge68_rtx4090,Candidate,,,,,,
